Year,Region,Race or Ethnicity,Sex,Age Group,Firearm Deaths,Alcohol-Related Deaths,Suicide Deaths
2017,NYC,White Non Hispanic,F,<1,0,0,0
2017,ROS,White Non Hispanic,M,Total,349,1751,770
2017,ROS,White Non Hispanic,F,Total,36,797,205
2017,ROS,White Non Hispanic,M,<1,0,0,0
2017,ROS,White Non Hispanic,F,<1,0,0,0
2017,ROS,White Non Hispanic,M,85+,21,57,30
2017,ROS,White Non Hispanic,F,85+,1,59,1
2017,ROS,White Non Hispanic,M,75-84,40,195,45
2017,ROS,White Non Hispanic,F,75-84,2,107,7
2017,ROS,White Non Hispanic,M,65-74,45,410,69
2017,ROS,White Non Hispanic,F,65-74,4,184,25
2017,ROS,White Non Hispanic,M,55-64,75,537,159
2017,ROS,White Non Hispanic,F,55-64,9,211,42
2017,ROS,White Non Hispanic,M,45-54,61,335,157
2017,ROS,White Non Hispanic,F,45-54,8,152,45
2017,ROS,White Non Hispanic,M,35-44,39,116,110
2017,ROS,White Non Hispanic,F,35-44,2,46,33
2017,ROS,White Non Hispanic,M,25-34,34,85,109
2017,ROS,White Non Hispanic,F,25-34,6,30,27
2017,ROS,White Non Hispanic,M,20-24,18,12,50
2017,ROS,White Non Hispanic,F,20-24,2,7,10
2017,ROS,White Non Hispanic,M,10-19,16,4,41
2017,ROS,White Non Hispanic,F,10-19,2,1,15
2017,ROS,White Non Hispanic,M,1-9,0,0,0
2017,ROS,White Non Hispanic,F,1-9,0,0,0
2017,ROS,Other Non Hispanic,M,Total,4,46,26
2017,ROS,Other Non Hispanic,F,Total,1,20,11
2017,ROS,Other Non Hispanic,M,<1,0,0,0
2017,ROS,Other Non Hispanic,F,<1,0,0,0
2017,ROS,Other Non Hispanic,M,85+,0,1,0
2017,ROS,Other Non Hispanic,F,85+,0,1,0
2017,ROS,Other Non Hispanic,M,75-84,0,5,2
2017,ROS,Other Non Hispanic,F,75-84,1,4,0
2017,ROS,Other Non Hispanic,M,65-74,0,7,1
2017,ROS,Other Non Hispanic,F,65-74,0,6,0
2017,ROS,Other Non Hispanic,M,55-64,2,7,3
2017,ROS,Other Non Hispanic,F,55-64,0,4,1
2017,ROS,Other Non Hispanic,M,45-54,0,16,2
2017,ROS,Other Non Hispanic,F,45-54,0,4,2
2017,ROS,Other Non Hispanic,M,35-44,1,6,6
2017,ROS,Other Non Hispanic,F,35-44,0,1,3
2017,ROS,Other Non Hispanic,M,25-34,0,4,6
2017,ROS,Other Non Hispanic,F,25-34,0,0,0
2017,ROS,Other Non Hispanic,M,20-24,0,0,2
2017,ROS,Other Non Hispanic,F,20-24,0,0,3
2017,ROS,Other Non Hispanic,M,10-19,1,0,4
2017,ROS,Other Non Hispanic,F,10-19,0,0,2
2017,ROS,Other Non Hispanic,M,1-9,0,0,0
2017,ROS,Other Non Hispanic,F,1-9,0,0,0
2017,ROS,Not Stated,M,Total,5,20,12
2017,ROS,Not Stated,F,Total,1,4,3
2017,ROS,Not Stated,M,<1,0,0,0
2017,ROS,Not Stated,F,<1,0,0,0
2017,ROS,Not Stated,M,85+,0,3,0
2017,ROS,Not Stated,F,85+,0,0,0
2017,ROS,Not Stated,M,75-84,0,5,0
2017,ROS,Not Stated,F,75-84,0,0,0
2017,ROS,Not Stated,M,65-74,1,2,1
2017,ROS,Not Stated,F,65-74,0,1,0
2017,ROS,Not Stated,M,55-64,0,5,1
2017,ROS,Not Stated,F,55-64,0,2,0
2017,ROS,Not Stated,M,45-54,1,3,2
2017,ROS,Not Stated,F,45-54,0,1,0
2017,ROS,Not Stated,M,35-44,0,1,0
2017,ROS,Not Stated,F,35-44,1,0,1
2017,ROS,Not Stated,M,25-34,1,1,5
2017,ROS,Not Stated,F,25-34,0,0,1
2017,ROS,Not Stated,M,20-24,2,0,2
2017,ROS,Not Stated,F,20-24,0,0,0
2017,ROS,Not Stated,M,10-19,0,0,1
2017,ROS,Not Stated,F,10-19,0,0,1
2017,ROS,Not Stated,M,1-9,0,0,0
2017,ROS,Hispanic,M,Total,36,177,40
2017,ROS,Hispanic,F,Total,2,46,14
2017,ROS,Hispanic,M,<1,0,0,0
2017,ROS,Hispanic,F,<1,0,0,0
2017,ROS,Hispanic,M,85+,0,3,0
2017,ROS,Hispanic,F,85+,0,6,0
2017,ROS,Hispanic,M,75-84,0,6,0
2017,ROS,Hispanic,F,75-84,0,6,0
2017,ROS,Hispanic,M,65-74,0,28,2
2017,ROS,Hispanic,F,65-74,0,10,1
2017,ROS,Hispanic,M,55-64,1,51,2
2017,ROS,Hispanic,F,55-64,0,9,1
2017,ROS,Hispanic,M,45-54,1,35,8
2017,ROS,Hispanic,F,45-54,1,9,8
2017,ROS,Hispanic,M,35-44,9,33,11
2017,ROS,Hispanic,F,35-44,0,4,1
2017,ROS,Hispanic,M,25-34,10,18,5
2017,ROS,Hispanic,F,25-34,1,1,2
2017,ROS,Hispanic,M,20-24,7,2,7
2017,ROS,Hispanic,F,20-24,0,1,1
2017,ROS,Hispanic,M,10-19,8,0,5
2017,ROS,Hispanic,F,10-19,0,0,0
2017,ROS,Hispanic,M,1-9,0,1,0
2017,ROS,Hispanic,F,1-9,0,0,0
2017,ROS,Black Non Hispanic,M,Total,99,167,40
2017,ROS,Black Non Hispanic,F,Total,4,76,15
2017,ROS,Black Non Hispanic,M,<1,0,0,0
2017,ROS,Black Non Hispanic,F,<1,0,0,0
